id,type,nomor_pb_umku,nama,website,sektor,nama_perusahaan,tanggal_daftar,nomor_tanda_daftar,qr_code,status_id,sistem_elektronik_id
12432,tdpseTerbit,812010586155300020031,SEKAI LOYALTY,loyaltyprogram.sekaihome.co.id,Sektor Perdagangan,TRIPACIFIC ELECTRINDO,2022-11-22,008556.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/8b921c35afc5a1f092caabf4985d9196.png,TERDAFTAR,12225
12427,tdpseTerbit,140922006261100010001,PLATFORM DIGITAL INFINID,infinid.id,Sektor Teknologi Informasi dan Komunikasi,INOVASI FINANSIAL UNTUK INDONESIA,2022-11-22,008554.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/1e20f1d9115a10587c9fea2d2d38f7c5.png,TERDAFTAR,12221
12426,tdpseTerbit,150822007094600000002,LIBURANTERUS.COM,liburanterus.com,"Sektor Perdagangan, Sektor Teknologi Informasi dan Komunikasi",EXPERTINDO MULIASISTEMA,2022-11-21,008552.02/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/cd6b76d26ac991c30cea22ae00e848cd.png,TERDAFTAR,12220
12424,tdpseTerbit,150822007094600000001,LIBURAN TERUS,liburanterus.com,Sektor Perdagangan,EXPERTINDO MULIASISTEMA,2022-11-21,008552.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/512715a6f97ea0d1e10dbdf629a434c8.png,TERDAFTAR,12218
12417,tdpseTerbit,122700014235400010001,PIAWAY,piaway.id,"Sektor Keuangan, Sektor Teknologi Informasi dan Komunikasi",SAHAMOLOGY MEDIA INVESTAMA,2022-11-21,008550.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/07d6b4055624f8f5c79e79e33c572b4e.png,TERDAFTAR,12212
12425,tdpseTerbit,912000679241200030001,IDN COUNTER,idncounter.co.id,"Sektor Perdagangan, Sektor Transportasi, Sektor Teknologi Informasi dan Komunikasi",AGRISINAR GLOBAL INDONESIA,2022-11-21,008549.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/72deb51a13f9d890c486a08f9d402a4c.png,TERDAFTAR,12219
12470,tdpseTerbit,812011708021800040002,GOGOBLI.COM,Gogobli.com,Sektor Perdagangan,GOGOBLI ASIA TEKNOLOGI,2022-11-23,008547.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/412c67a14b18b56b7676f0c6bdbc6c59.png,TERDAFTAR,12207
12408,tdpseTerbit,912010671141100010001,GLOBAL PAYMENT,globalpayment.agency,"Sektor Perdagangan, Sektor Teknologi Informasi dan Komunikasi",AKSARA PUTRA MEDIATAMA,2022-11-21,008545.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/75d912641bd51f56ec98246ea876fa56.png,TERDAFTAR,12204
12407,tdpseTerbit,022020479154400000001,PEJUANG,-,Sektor Teknologi Informasi dan Komunikasi,PEJUANG EKONOMI MANDIRI,2022-11-21,008544.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/23d65a842c2dfe156d60718b25980361.png,TERDAFTAR,12203
12415,tdpseTerbit,161221004516600030001,PT REKRUTMEN INDONESIA BERSATU,getredy.id,Sektor Teknologi Informasi dan Komunikasi,REKRUTMEN INDONESIA BERSATU,2022-11-21,008541.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/893e273c9be41a37eec3e1caeb924aa3.png,TERDAFTAR,12210
12423,tdpseTerbit,191122003417800010002,PENERBITAN LEGALITAS USAHA PERORANGAN,-,Sektor Teknologi Informasi dan Komunikasi,SINGA FOREX MANDIRI,2022-11-21,008540.04/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/e87b4ad62985a7a1f6748593992adf46.png,TERDAFTAR,12217
12403,tdpseTerbit,191122003417800010001,PT SINGA FOREX MANDIRI,-,Sektor Keuangan,SINGA FOREX MANDIRI,2022-11-21,008540.03/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/68e4a72f0e1eefb963e52c8d55667031.png,TERDAFTAR,12198
12400,tdpseTerbit,191122003417800010002,LEGALITAS USAHA PERORANGAN,-,Sektor Teknologi Informasi dan Komunikasi,SINGA FOREX MANDIRI,2022-11-19,008540.02/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/35dd238debc4c068086d4d4c1c6dbe2e.png,TERDAFTAR,12197
12399,tdpseTerbit,191122003417800010001,SINGA FOREX MANDIRI,-,Sektor Keuangan,SINGA FOREX MANDIRI,2022-11-19,008540.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/8287af6e4b20001b3c994bca7467d5e1.png,TERDAFTAR,12196
12398,tdpseTerbit,130322001704700030001,HARIAN MEMO KEPRI,harianmemokepri.com,Sektor Teknologi Informasi dan Komunikasi,MEDIA MEMO INDONESIA,2022-11-19,008539.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/90e4f934d97dba7cb8e5dbafbed88795.png,TERDAFTAR,12194
12394,tdpseTerbit,912040924236300000001,RAHAR DIAN PARTNER,DIANRISQI.COM,Sektor Teknologi Informasi dan Komunikasi,RM. MUH. ABDUL ROUF,2022-11-18,008537.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/ce8172ab3c4b95811314f84d21f72255.png,TERDAFTAR,12189
12428,tdpseTerbit,812000681390600000001,KIOSMAX,berkahotoritasmedia.com,"Sektor Perdagangan, Sektor Keuangan, Sektor Teknologi Informasi dan Komunikasi",BERKAH OTORITAS MEDIA,2022-11-22,008536.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/d960258704fd7c2d8e8c727e49e1f54c.png,TERDAFTAR,12222
12396,tdpseTerbit,912000120204500010002,MANAGEMENT INVESTASI,ABDUL.ID,"Sektor Perdagangan, Sektor Keuangan, Sektor Teknologi Informasi dan Komunikasi",RM. MUH. ABDUL ROUF,2022-11-18,008535.02/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/491b66c07cdd67d7c6d50bfdf4aef9b8.png,TERDAFTAR,12191
12393,tdpseTerbit,912000120204500010001,"LAYANAN BISNIS, TEKNOLOGI DAN INFORMASI",Abdul.id,"Sektor Perdagangan, Sektor Keuangan, Sektor Teknologi Informasi dan Komunikasi",RM. MUH. ABDUL ROUF,2022-11-18,008535.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/1268f83a802c50d79c7621f77174da37.png,TERDAFTAR,12188
12411,tdpseTerbit,912010083257600020001,METATRADER 5,lmr.co.id,"Sektor Perdagangan, Sektor Keuangan",LINTAS MAHESA RAYA,2022-11-21,008533.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/7c4a6a79d1db29e790583871130cd036.png,TERDAFTAR,12205
12413,tdpseTerbit,812020370216900010001,METATRADER 5,hsb.co.id,"Sektor Perdagangan, Sektor Keuangan",HANDAL SEMESTA BERJANGKA,2022-11-21,008532.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/a177fdec992972997610dcdf580ca973.png,TERDAFTAR,12208
12414,tdpseTerbit,912010543121600030001,SYAAMIL TOUR,syaamiltour.id,Sektor Teknologi Informasi dan Komunikasi,SYAAMIL PRIMA DAYA,2022-11-21,008531.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/9ecd19aa50f5f6af78ebe6ae144f8f0b.png,TERDAFTAR,12209
12383,tdpseTerbit,110522004425300060001,"BRIK WEBSITE, BRIK ORDER AND DELIVERY, BRIK SALES APPS",brik.id,Sektor Perdagangan,BANGUN RANCANG INDONESIA KITA,2022-11-18,008529.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/b6fa8a4ab13610c3f993002abe3e1fe5.png,TERDAFTAR,12180
12379,tdpseTerbit,081122007759300000001,BASKIT TECHNOLOGY APLIKASI,www245.wixdns.net,"Sektor Perdagangan, Sektor Teknologi Informasi dan Komunikasi",BASKIT TECHNOLOGY APLIKASI,2022-11-18,008528.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/a065a446f6225367f528c07408ae1b3c.png,TERDAFTAR,12177
12416,tdpseTerbit,251022012615400010001,SYNERGY ACADEMY INDONESIA,synergyacademy.co.id,Sektor Teknologi Informasi dan Komunikasi,SYNERGY ACADEMY INDONESIA,2022-11-21,008526.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/78e2ac1476e3689603d3794692b85b7b.png,TERDAFTAR,12211
12376,tdpseTerbit,021122006147300000001,SIMPLUS,simplus.id,"Sektor Perdagangan, Sektor Teknologi Informasi dan Komunikasi",SIMPLUS TEKNOLOGI INOVASI,2022-11-18,008525.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/800b37df43dcd953e0c475adf78dca76.png,TERDAFTAR,12174
12397,tdpseTerbit,310822000037300010001,SINGA FOREX MANDIRI,-,"Sektor Perdagangan, Sektor Keuangan",DIDIT HASTANTO,2022-11-19,008524.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/4c747058cd7665f0586cb5ea366a4bc5.png,TERDAFTAR,12193
12378,tdpseTerbit,110422002812700020003,ARTOS TOKEN,artostoken.net,Sektor Keuangan,ARTOS DIGITAL SEJAHTERA,2022-11-18,008523.03/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/46372161859987f10000acf8b0d084b7.png,TERDAFTAR,12176
12377,tdpseTerbit,110422002812700020002,DAPP ARTOS WALLET,artostoken.net,"Sektor Perdagangan, Sektor Keuangan, Sektor Teknologi Informasi dan Komunikasi",ARTOS DIGITAL SEJAHTERA,2022-11-18,008523.02/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/7c53792d304ccb9de5f708c5f3176e20.png,TERDAFTAR,12175
12373,tdpseTerbit,110422002812700020001,ARTOS DIGITAL SEJAHTERA,artostoken.net,"Sektor Keuangan, Sektor Teknologi Informasi dan Komunikasi",ARTOS DIGITAL SEJAHTERA,2022-11-17,008523.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/04250c386da047e732e8cc6d3c93485d.png,TERDAFTAR,12170
12367,tdpseTerbit,171122016982100000001,NEOCLINIC,-,Sektor Kesehatan,PURNOMO FITRA,2022-11-17,008520.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/4a9f667826942957e3dd5c2819e523d9.png,TERDAFTAR,12163
12391,tdpseTerbit,090822006069300010001,MICROGOLD,microgoldku.id,Sektor Perdagangan,SAKA BHUMI AURUM,2022-11-18,008519.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/07815ab98f5f082f73ceb617e72fbb2b.png,TERDAFTAR,12184
12361,tdpseTerbit,022010934136800040001,ALIFAH NURINDO,alifahnurindo.com,Sektor Perdagangan,NURINDO WISATA,2022-11-17,008517.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/e184fb1208fbfcf5a1be168c2cac69e6.png,TERDAFTAR,12156
12360,tdpseTerbit,190222000632400020001,CITRA SISTEM INTEGRASI HENDRA,-,Sektor Teknologi Informasi dan Komunikasi,CITRA SISTEM INTEGRASI,2022-11-17,008516.02/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/121eb83e9b2c11abbbbddfa47860fb9a.png,TERDAFTAR,12155
12375,tdpseTerbit,271022001659300010002,RENCANAKU.ID,rencanaku.id,Sektor Teknologi Informasi dan Komunikasi,RENCANA ANAK BANGSA,2022-11-17,008515.02/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/783451505de3d29729835f129aeff92b.png,TERDAFTAR,12173
12374,tdpseTerbit,271022001659300010001,RENCANAKU,rencanaku.id,Sektor Teknologi Informasi dan Komunikasi,RENCANA ANAK BANGSA,2022-11-17,008515.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/e700d146f5061ad322ffe0a435638bc5.png,TERDAFTAR,12172
12358,tdpseTerbit,912000398174500070001,LARISSA POINT OF SERVICE (LPS),larissa.co.id,Sektor Perdagangan,LARISSA KARUNIA SEJAHTERA,2022-11-17,008514.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/a4be62d2a47d5bd7f0e982c89fb2f6dd.png,TERDAFTAR,12152
